loss,values
8.734558,172.3558
8.490784,172.83322
8.170197,173.31207
8.454498,173.80032
8.199855,174.29004
8.158538,174.78345
8.641052,175.2593
9.383606,175.75174
8.317839,176.24738
8.013611,176.7334
8.454056,177.2164
8.12619,177.69351
9.246399,178.195
8.185475,178.69312
8.241577,179.16483
8.997437,179.64667
8.6119995,180.13399
8.247557,180.61942
7.9976196,181.10373
8.093689,181.57321
8.350161,182.06598
8.541391,182.54585
8.181549,183.0398
8.879242,183.52008
8.517059,183.98471
8.266357,184.46599
8.487213,184.93936
8.491516,185.42395
8.443878,185.89395
8.744476,186.37926
7.9490623,186.85791
8.289856,187.34721
8.862582,187.83865
8.428542,188.33257
8.386286,188.81862
7.9747543,189.30022
8.108411,189.78433
8.238434,190.27588
8.903748,190.75308
8.268188,191.23308
8.021336,191.70412
8.273394,192.1908
8.204073,192.69156
7.624115,193.16182
8.67804,193.64897
8.139259,194.11934
7.990509,194.60512
9.035065,195.09068
9.030178,195.58276
8.280426,196.07562
8.454742,196.56358
8.043871,197.04141
8.7093525,197.5086
9.091288,197.99274
8.331299,198.47495
8.092622,198.95203
8.541342,199.43549
8.702393,199.91315
8.564941,200.40326
8.683929,200.88905
8.337189,201.38187
8.4868145,201.87411
7.779175,202.35663
8.320984,202.84032
8.579254,203.32074
8.430267,203.79892
8.251709,204.2781
8.8810425,204.75247
8.235331,205.23741
8.822998,205.71886
8.040802,206.19946
8.389709,206.68452
8.494812,207.16876
8.37561,207.65
9.359467,208.13431
8.4841,208.60884
8.422424,209.07483
8.165861,209.55553
8.695282,210.05324
8.31366,210.52403
8.466797,211.00464
8.588806,211.48128
8.15683,211.95438
8.585693,212.43102
8.476023,212.90323
8.74942,213.37575
8.529419,213.85411
8.691675,214.35277
8.292561,214.82634
8.094532,215.30539
8.017378,215.78784
7.82193,216.27083
8.552987,216.74307
8.401733,217.22128
7.976227,217.6933
8.74528,218.17435
8.350464,218.64749
8.683502,219.14014
8.388535,219.61577
8.345032,220.08763
8.863922,220.56998
8.252167,221.03882
8.16803,221.52512
8.305634,221.9992
8.661743,222.46774
8.771881,222.95027
8.461914,223.42624
8.765381,223.91255
8.564378,224.39662
8.314091,224.87808
7.820984,225.36595
8.148342,225.85263
7.8548975,226.33301
8.827835,226.80737
8.572754,227.28922
7.9417114,227.7666
8.157684,228.24585
8.034454,228.71573
8.915472,229.18616
8.248047,229.6744
8.774527,230.13779
7.9771423,230.61353
8.080566,231.09427
8.14859,231.58218
9.030462,232.06795
7.562561,232.55135
7.64505,233.0211
8.551422,233.4974
8.522858,233.97406
8.494324,234.45369
8.813279,234.93076
8.636597,235.41168
7.8936768,235.8923
8.982246,236.36346
8.51292,236.84842
8.7335205,237.32416
8.298984,237.80447
8.123566,238.27838
8.633786,238.76155
8.390076,239.22876
8.56192,239.69063
